Project,,Project Description,,Project Link,,Forks,,Stars,,ISSUE ID,,ISSUE Description,,ISSUE Create Time,,Fix time,,Fix vision,,Commit ID,
FasterXML/jackson-core,,"This project contains core low-level incremental (""streaming"") parser and generator abstractions used by Jackson Data Processor. It also includes the default implementation of handler types (parser, generator) that handle JSON format. The core abstractions are not JSON specific, although naming does contain 'JSON' in many places, due to historical reasons. Only packages that specifically contain word 'json' are JSON-specific.",,https://github.com/FasterXML/jackson-core,,870,,2.4k,,#4500,,The JsonReyclerPools#LockFreePool object takes up a large amount of memory,,2024.7.6,,2024.7.6,,2.17.1,,N/A,
FasterXML/jackson-core,,"This project contains core low-level incremental (""streaming"") parser and generator abstractions used by Jackson Data Processor. It also includes the default implementation of handler types (parser, generator) that handle JSON format. The core abstractions are not JSON specific, although naming does contain 'JSON' in many places, due to historical reasons. Only packages that specifically contain word 'json' are JSON-specific.",,https://github.com/FasterXML/jackson-core,,870,,2.4k,,#1117,,Change default RecylerPool implementation to newLockFreePool (from threadLocalPool) ,,2023.10.1,,2024.4.20,,2.17.1,,3cce264、2a4a6dc,
FasterXML/jackson-core,,"This project contains core low-level incremental (""streaming"") parser and generator abstractions used by Jackson Data Processor. It also includes the default implementation of handler types (parser, generator) that handle JSON format. The core abstractions are not JSON specific, although naming does contain 'JSON' in many places, due to historical reasons. Only packages that specifically contain word 'json' are JSON-specific.",,https://github.com/FasterXML/jackson-core,,870,,2.4k,,#1260,,Figure out why LockFreePool appears to cause unintended object retention (~= memory leak),,2024.4.15,,2024.5.5,,2.18,,266b941、3010ad2、4b8d399,
FasterXML/jackson-core,,"This project contains core low-level incremental (""streaming"") parser and generator abstractions used by Jackson Data Processor. It also includes the default implementation of handler types (parser, generator) that handle JSON format. The core abstractions are not JSON specific, although naming does contain 'JSON' in many places, due to historical reasons. Only packages that specifically contain word 'json' are JSON-specific.",,https://github.com/FasterXML/jackson-core,,870,,2.4k,,#400,,Add mechanism for forcing BufferRecycler released (to call on shutdown),,2024.9.14,,2025.12.18,,2.9.6,,6a0031b,
FasterXML/jackson-core,,"This project contains core low-level incremental (""streaming"") parser and generator abstractions used by Jackson Data Processor. It also includes the default implementation of handler types (parser, generator) that handle JSON format. The core abstractions are not JSON specific, although naming does contain 'JSON' in many places, due to historical reasons. Only packages that specifically contain word 'json' are JSON-specific.",,https://github.com/FasterXML/jackson-core,,870,,2.4k,,#1320,,The JsonReyclerPools#LockFreePool object takes up a large amount of memory,,2024.7.6,,2024.7.6,,2.17.1,,N/A,
netty/netty,,Netty is an asynchronous event-driven network application framework for rapid development of maintainable high performance protocol servers & clients.,,https://github.com/netty/netty,,34.9k,,16.3k,,#3837,,Did ChannelOutBoundBuffer need to remove NIOBUFFER threadLocal while the message is done,,2015.5.28,,2023.10.19,,4.0.24,,4d25e0e,
netty/netty,,Netty is an asynchronous event-driven network application framework for rapid development of maintainable high performance protocol servers & clients.,,https://github.com/netty/netty,,34.9k,,16.3k,,#5333,,Fix the possible reference leak in Recycler,,2016.6.1,,2016.6.1,,4.0.37,,bbed330、14cbf65,
netty/netty,,Netty is an asynchronous event-driven network application framework for rapid development of maintainable high performance protocol servers & clients.,,https://github.com/netty/netty,,34.9k,,16.3k,,#5089,,PoolChunkList not correctly move PoolChunks when these are moved,,2016.4.6,,2016.8.12,,4.0.37,,66ce014、88b093c,
netty/netty,,Netty is an asynchronous event-driven network application framework for rapid development of maintainable high performance protocol servers & clients.,,https://github.com/netty/netty,,34.9k,,16.3k,,#6891,,"io.netty.util.internal.InternalThreadLocalMap,memory leak",,2017.6.23,,2024.9.30,,4.2,,ada575d、8200dc0,
netty/netty,,Netty is an asynchronous event-driven network application framework for rapid development of maintainable high performance protocol servers & clients.,,https://github.com/netty/netty,,34.9k,,16.3k,, #8079,,Does ByteBuf need to be allocated and released in same thread (IO or non-IO)?,,2018.6.28,,2018.6.29,,N/A,,N/A,
